Symbol	Entrez GeneID	U2OS	HeLa-Whitfield	Foreskin fibroblasts	HaCaT	Total # of datasets
EFNA1	1942	Yes	No	No	No	1
EFNA3	1944	Yes	No	No	No	1
EIF5	1983	Yes	No	No	No	1
ELAVL2	1993	Yes	No	No	No	1
EPHB3	2049	Yes	No	No	No	1
CLN8	2055	Yes	No	No	No	1
ETS2	2114	Yes	No	No	No	1
EYA3	2140	Yes	No	No	No	1
F2RL2	2151	Yes	No	No	No	1
FCN1	2219	Yes	No	No	No	1
FDFT1	2222	Yes	No	No	No	1
FGF5	2250	Yes	No	No	No	1
FGF9	2254	Yes	No	No	No	1
FGF12	2257	Yes	No	No	No	1
FGF13	2258	Yes	No	No	No	1
FGFR2	2263	Yes	No	No	No	1
FH	2271	Yes	No	No	No	1
FOXD4	2298	Yes	No	No	No	1
FOXO1A	2308	Yes	No	No	No	1
FSHPRH1	2491	Yes	No	No	No	1
GAB1	2549	Yes	No	No	No	1
GABPB2	2553	Yes	No	No	No	1
GAMT	2593	Yes	No	No	No	1
GATA4	2626	Yes	No	No	No	1
GHR	2690	Yes	No	No	No	1
GK	2710	Yes	No	No	No	1
GLRB	2743	Yes	No	No	No	1
GLS	2744	Yes	No	No	No	1
GNAI1	2770	Yes	No	No	No	1
GOLGA4	2803	Yes	No	No	No	1
GPD2	2820	Yes	No	No	No	1
GRIA1	2890	Yes	No	No	No	1
GRM8	2918	Yes	No	No	No	1
GSTT2	2953	Yes	No	No	No	1
GTF2E1	2960	Yes	No	No	No	1
GTF2E2	2961	Yes	No	No	No	1
GUCY1A2	2977	Yes	No	No	No	1
GUCA1B	2979	Yes	No	No	No	1
GUCY1B3	2983	Yes	No	No	No	1
HIST1H1E	3008	Yes	No	No	No	1
HIST1H2AD	3013	Yes	No	No	No	1
HIST1H2BD	3017	Yes	No	No	No	1
HIST1H1A	3024	Yes	No	No	No	1
HLA-DQB2	3120	Yes	No	No	No	1
HLCS	3141	Yes	No	No	No	1
HNRPF	3185	Yes	No	No	No	1
HOXA3	3200	Yes	No	No	No	1
HOXA4	3201	Yes	No	No	No	1
HOXA5	3202	Yes	No	No	No	1
HOXA7	3204	Yes	No	No	No	1
HOXA10	3206	Yes	No	No	No	1
HOXB8	3218	Yes	No	No	No	1
HOXB9	3219	Yes	No	No	No	1
HOXC13	3229	Yes	No	No	No	1
HOXD8	3234	Yes	No	No	No	1
HOXD9	3235	Yes	No	No	No	1
HSPA4	3308	Yes	No	No	No	1
HSPA5	3309	Yes	No	No	No	1
HSPA6	3310	Yes	No	No	No	1
IGSF3	3321	Yes	No	No	No	1
HSPD1	3329	Yes	No	No	No	1
ICA1	3382	Yes	No	No	No	1
ID2	3398	Yes	No	No	No	1
ID4	3400	Yes	No	No	No	1
IDH1	3417	Yes	No	No	No	1
IGF2R	3482	Yes	No	No	No	1
CYR61	3491	Yes	No	No	No	1
IL4	3565	Yes	No	No	No	1
IL7	3574	Yes	No	No	No	1
IL8	3576	Yes	No	No	No	1
IL15	3600	Yes	No	No	No	1
INCENP	3619	Yes	No	No	No	1
IRF1	3659	Yes	No	No	No	1
ITGAX	3687	Yes	No	No	No	1
ITGB8	3696	Yes	No	No	No	1
ITK	3702	Yes	No	No	No	1
JAK1	3716	Yes	No	No	No	1
KCNA1	3736	Yes	No	No	No	1
KCNA6	3742	Yes	No	No	No	1
KCNC1	3746	Yes	No	No	No	1
KCNC3	3748	Yes	No	No	No	1
KCNJ2	3759	Yes	No	No	No	1
KCNJ14	3770	Yes	No	No	No	1
KIF3C	3797	Yes	No	No	No	1
KLKB1	3818	Yes	No	No	No	1
KPNA4	3840	Yes	No	No	No	1
LAG3	3902	Yes	No	No	No	1
LAMA5	3911	Yes	No	No	No	1
LCN1	3933	Yes	No	No	No	1
LIFR	3977	Yes	No	No	No	1
LIMK2	3985	Yes	No	No	No	1
LIPE	3991	Yes	No	No	No	1
LMO2	4005	Yes	No	No	No	1
LMO7	4008	Yes	No	No	No	1
LYN	4067	Yes	No	No	No	1
SMAD6	4091	Yes	No	No	No	1
MAF	4094	Yes	No	No	No	1
MAFG	4097	Yes	No	No	No	1
MAN1A1	4121	Yes	No	No	No	1
MAN2C1	4123	Yes	No	No	No	1
MAP1B	4131	Yes	No	No	No	1
MARK1	4139	Yes	No	No	No	1
CHST6	4166	Yes	No	No	No	1
MDS1	4197	Yes	No	No	No	1
MECP2	4204	Yes	No	No	No	1
MEF2C	4208	Yes	No	No	No	1
MEIS1	4211	Yes	No	No	No	1
MEIS2	4212	Yes	No	No	No	1
MAP3K5	4217	Yes	No	No	No	1
MFAP3	4238	Yes	No	No	No	1
MGAT5	4249	Yes	No	No	No	1
NR3C2	4306	Yes	No	No	No	1
MNDA	4332	Yes	No	No	No	1
CD200	4345	Yes	No	No	No	1
MPP1	4354	Yes	No	No	No	1
MPV17	4358	Yes	No	No	No	1
MSX1	4487	Yes	No	No	No	1
MTCP1	4515	Yes	No	No	No	1
MTM1	4534	Yes	No	No	No	1
MTR	4548	Yes	No	No	No	1
MYB	4602	Yes	No	No	No	1
MYH3	4621	Yes	No	No	No	1
MYH11	4629	Yes	No	No	No	1
MYO1E	4643	Yes	No	No	No	1
MYO6	4646	Yes	No	No	No	1
MYO10	4651	Yes	No	No	No	1
NDUFA10	4705	Yes	No	No	No	1
NDUFC2	4718	Yes	No	No	No	1
NEK3	4752	Yes	No	No	No	1
NFIB	4781	Yes	No	No	No	1
NFKB1	4790	Yes	No	No	No	1
NFKBIL2	4796	Yes	No	No	No	1
NINJ1	4814	Yes	No	No	No	1
NKX2-2	4821	Yes	No	No	No	1
NOS2A	4843	Yes	No	No	No	1
CNOT4	4850	Yes	No	No	No	1
NOTCH4	4855	Yes	No	No	No	1
NP	4860	Yes	No	No	No	1
NPM1	4869	Yes	No	No	No	1
NRTN	4902	Yes	No	No	No	1
ROR2	4920	Yes	No	No	No	1
NR4A2	4929	Yes	No	No	No	1
OCA2	4948	Yes	No	No	No	1
OPA1	4976	Yes	No	No	No	1
ORM2	5005	Yes	No	No	No	1
OTX1	5013	Yes	No	No	No	1
P2RY2	5029	Yes	No	No	No	1
PAEP	5047	Yes	No	No	No	1
PAFAH1B1	5048	Yes	No	No	No	1
PBX1	5087	Yes	No	No	No	1
PCBP2	5094	Yes	No	No	No	1
PCDH8	5100	Yes	No	No	No	1
PCDH9	5101	Yes	No	No	No	1
PDGFRA	5156	Yes	No	No	No	1
PEG3	5178	Yes	No	No	No	1
PER1	5187	Yes	No	No	No	1
PEX6	5190	Yes	No	No	No	1
PGM3	5238	Yes	No	No	No	1
PHF2	5253	Yes	No	No	No	1
PHKA1	5255	Yes	No	No	No	1
PHKG1	5260	Yes	No	No	No	1
PIK3C2B	5287	Yes	No	No	No	1
PLAG1	5324	Yes	No	No	No	1
PLAGL1	5325	Yes	No	No	No	1
PML	5371	Yes	No	No	No	1
PMS2L3	5387	Yes	No	No	No	1
PPP2R2A	5520	Yes	No	No	No	1
PPP2R5D	5528	Yes	No	No	No	1
PPP2R5E	5529	Yes	No	No	No	1
PPP3CC	5533	Yes	No	No	No	1
PRKAA1	5562	Yes	No	No	No	1
PRKAA2	5563	Yes	No	No	No	1
PKIA	5569	Yes	No	No	No	1
PRKCE	5581	Yes	No	No	No	1
MAPK11	5600	Yes	No	No	No	1
PROX1	5629	Yes	No	No	No	1
PSAP	5660	Yes	No	No	No	1
PSG2	5670	Yes	No	No	No	1
PSMD7	5713	Yes	No	No	No	1
PTEN	5728	Yes	No	No	No	1
PTGS2	5743	Yes	No	No	No	1
PTHLH	5744	Yes	No	No	No	1
PTK2	5747	Yes	No	No	No	1
PTPN2	5771	Yes	No	No	No	1
PTPN12	5782	Yes	No	No	No	1
PTPRE	5791	Yes	No	No	No	1
PTPRR	5801	Yes	No	No	No	1
PURA	5813	Yes	No	No	No	1
PVALB	5816	Yes	No	No	No	1
RAB1A	5861	Yes	No	No	No	1
RAB3IL1	5866	Yes	No	No	No	1
RAC2	5880	Yes	No	No	No	1
RAD23B	5887	Yes	No	No	No	1
REL	5966	Yes	No	No	No	1
RFC1	5981	Yes	No	No	No	1
RFX3	5991	Yes	No	No	No	1
RFXAP	5994	Yes	No	No	No	1
RGS12	6002	Yes	No	No	No	1
RGS16	6004	Yes	No	No	No	1
RORA	6095	Yes	No	No	No	1
RORC	6097	Yes	No	No	No	1
RPA3	6119	Yes	No	No	No	1
RPS6KB1	6198	Yes	No	No	No	1
RRAD	6236	Yes	No	No	No	1
SATB1	6304	Yes	No	No	No	1
SC4MOL	6307	Yes	No	No	No	1
SCN5A	6331	Yes	No	No	No	1
SDCBP	6386	Yes	No	No	No	1
SEL1L	6400	Yes	No	No	No	1
SEPP1	6414	Yes	No	No	No	1
SFRP4	6424	Yes	No	No	No	1
SFRS1	6426	Yes	No	No	No	1
SFRS2	6427	Yes	No	No	No	1
SH3BP2	6452	Yes	No	No	No	1
SHMT1	6470	Yes	No	No	No	1
SHOX2	6474	Yes	No	No	No	1
SIAT1	6480	Yes	No	No	No	1
SLC1A1	6505	Yes	No	No	No	1
SLC1A3	6507	Yes	No	No	No	1
SLC1A5	6510	Yes	No	No	No	1
SLC2A4	6517	Yes	No	No	No	1
SLC7A2	6542	Yes	No	No	No	1
SLCO2A1	6578	Yes	No	No	No	1
SMARCA2	6595	Yes	No	No	No	1
SMARCC2	6601	Yes	No	No	No	1
SNCG	6623	Yes	No	No	No	1
SNRPN	6638	Yes	No	No	No	1
SON	6651	Yes	No	No	No	1
SOX2	6657	Yes	No	No	No	1
SP3	6670	Yes	No	No	No	1
SPAG1	6674	Yes	No	No	No	1
UAP1	6675	Yes	No	No	No	1
SPP2	6694	Yes	No	No	No	1
SQLE	6713	Yes	No	No	No	1
SRD5A2	6716	Yes	No	No	No	1
STAR	6770	Yes	No	No	No	1
STXBP2	6813	Yes	No	No	No	1
XCL2	6846	Yes	No	No	No	1
TACC1	6867	Yes	No	No	No	1
TCF3	6929	Yes	No	No	No	1
TGFA	7039	Yes	No	No	No	1
TGFB3	7043	Yes	No	No	No	1
THBS2	7058	Yes	No	No	No	1
TITF1	7080	Yes	No	No	No	1
TLR3	7098	Yes	No	No	No	1
TNFAIP1	7126	Yes	No	No	No	1
TP73	7161	Yes	No	No	No	1
TPBG	7162	Yes	No	No	No	1
TRAF1	7185	Yes	No	No	No	1
TRAF6	7189	Yes	No	No	No	1
TSC1	7248	Yes	No	No	No	1
TTPA	7274	Yes	No	No	No	1
TULP3	7289	Yes	No	No	No	1
UBE2N	7334	Yes	No	No	No	1
UBE3A	7337	Yes	No	No	No	1
UGT8	7368	Yes	No	No	No	1
VIL2	7430	Yes	No	No	No	1
VIPR1	7433	Yes	No	No	No	1
VRK1	7443	Yes	No	No	No	1
WASPIP	7456	Yes	No	No	No	1
WFS1	7466	Yes	No	No	No	1
YWHAZ	7534	Yes	No	No	No	1
SF1	7536	Yes	No	No	No	1
ZFP161	7541	Yes	No	No	No	1
ZIC3	7547	Yes	No	No	No	1
ZNF6	7552	Yes	No	No	No	1
ZNF8	7554	Yes	No	No	No	1
ZNF9	7555	Yes	No	No	No	1
ZNF21	7569	Yes	No	No	No	1
ZNF22	7570	Yes	No	No	No	1
ZNF26	7574	Yes	No	No	No	1
ZNF33A	7581	Yes	No	No	No	1
ZNF46	7597	Yes	No	No	No	1
ZNF75	7626	Yes	No	No	No	1
ZNF134	7693	Yes	No	No	No	1
ZNF135	7694	Yes	No	No	No	1
ZNF198	7750	Yes	No	No	No	1
ZNF214	7761	Yes	No	No	No	1
ZNF226	7769	Yes	No	No	No	1
EVI5	7813	Yes	No	No	No	1
RNF103	7844	Yes	No	No	No	1
ARMET	7873	Yes	No	No	No	1
C5orf18	7905	Yes	No	No	No	1
BAT4	7918	Yes	No	No	No	1
BAT1	7919	Yes	No	No	No	1
D8S2298E	7993	Yes	No	No	No	1
PSCA	8000	Yes	No	No	No	1
BRD3	8019	Yes	No	No	No	1
MLLT10	8028	Yes	No	No	No	1
SLC25A16	8034	Yes	No	No	No	1
DPF3	8110	Yes	No	No	No	1
TAF15	8148	Yes	No	No	No	1
U2AF1L2	8233	Yes	No	No	No	1
FZD1	8321	Yes	No	No	No	1
FZD8	8325	Yes	No	No	No	1
HIST1H2AJ	8331	Yes	No	No	No	1
HIST2H2AC	8338	Yes	No	No	No	1
HIST1H3B	8358	Yes	No	No	No	1
HIST1H4D	8360	Yes	No	No	No	1
HIST1H4L	8368	Yes	No	No	No	1
ULK1	8408	Yes	No	No	No	1
SOAT2	8435	Yes	No	No	No	1
PPM1D	8493	Yes	No	No	No	1
PPFIA4	8497	Yes	No	No	No	1
ENC1	8507	Yes	No	No	No	1
IFITM1	8519	Yes	No	No	No	1
PRPF18	8559	Yes	No	No	No	1
C22orf19	8563	Yes	No	No	No	1
RUVBL1	8607	Yes	No	No	No	1
KLF7	8609	Yes	No	No	No	1
PPAP2C	8612	Yes	No	No	No	1
NPFF	8620	Yes	No	No	No	1
PDE5A	8654	Yes	No	No	No	1
EIF3S5	8665	Yes	No	No	No	1
SLC4A4	8671	Yes	No	No	No	1
TNFRSF25	8718	Yes	No	No	No	1
NAPG	8774	Yes	No	No	No	1
CCNK	8812	Yes	No	No	No	1
SYNJ2	8871	Yes	No	No	No	1
AP1S2	8905	Yes	No	No	No	1
CXX1	8933	Yes	No	No	No	1
BTRC	8945	Yes	No	No	No	1
P4HA2	8974	Yes	No	No	No	1
WASL	8976	Yes	No	No	No	1
CDKL2	8999	Yes	No	No	No	1
TAF1B	9014	Yes	No	No	No	1
RNF8	9025	Yes	No	No	No	1
SPAG9	9043	Yes	No	No	No	1
GPCR5A	9052	Yes	No	No	No	1
CLDN12	9069	Yes	No	No	No	1
CLDN9	9080	Yes	No	No	No	1
UNC119	9094	Yes	No	No	No	1
MTMR4	9110	Yes	No	No	No	1
SLC16A7	9194	Yes	No	No	No	1
LRRFIP1	9208	Yes	No	No	No	1
SCYE1	9255	Yes	No	No	No	1
SNAP29	9342	Yes	No	No	No	1
SLC9A3R1	9368	Yes	No	No	No	1
ZNF264	9422	Yes	No	No	No	1
AKAP5	9495	Yes	No	No	No	1
SLC4A7	9497	Yes	No	No	No	1
GAGEC1	9506	Yes	No	No	No	1
ADAMTS3	9508	Yes	No	No	No	1
CREB5	9586	Yes	No	No	No	1
WTAP	9589	Yes	No	No	No	1
CELSR1	9620	Yes	No	No	No	1
ARHGEF10	9639	Yes	No	No	No	1
PPM1F	9647	Yes	No	No	No	1
GREB1	9687	Yes	No	No	No	1
KIAA0296	9726	Yes	No	No	No	1
KIAA0408	9729	Yes	No	No	No	1
KNTC1	9735	Yes	No	No	No	1
C6orf32	9750	Yes	No	No	No	1
STARD8	9754	Yes	No	No	No	1
ProSAPiP1	9762	Yes	No	No	No	1
KIAA0247	9766	Yes	No	No	No	1
TBC1D5	9779	Yes	No	No	No	1
RNF144	9781	Yes	No	No	No	1
MAML1	9794	Yes	No	No	No	1
TOMM20	9804	Yes	No	No	No	1
KIAA0494	9813	Yes	No	No	No	1
KIAA0663	9877	Yes	No	No	No	1
RHOBTB1	9886	Yes	No	No	No	1
KIAA0329	9895	Yes	No	No	No	1
UBAP2L	9898	Yes	No	No	No	1
STAF65(gamma)	9913	Yes	No	No	No	1
KIAA0478	9923	Yes	No	No	No	1
ARHGAP25	9938	Yes	No	No	No	1
WDR1	9948	Yes	No	No	No	1
NR1D2	9975	Yes	No	No	No	1
REC8L1	9985	Yes	No	No	No	1
HNRPDL	9987	Yes	No	No	No	1
BCL2L11	10018	Yes	No	No	No	1
GNE	10020	Yes	No	No	No	1
CXorf6	10046	Yes	No	No	No	1
UST	10090	Yes	No	No	No	1
TM4SF9	10098	Yes	No	No	No	1
HIPK3	10114	Yes	No	No	No	1
RBM12	10137	Yes	No	No	No	1
RBM6	10180	Yes	No	No	No	1
RNF41	10193	Yes	No	No	No	1
C13orf22	10208	Yes	No	No	No	1
TRIB1	10221	Yes	No	No	No	1
COQ7	10229	Yes	No	No	No	1
NBR2	10230	Yes	No	No	No	1
TIMM17B	10245	Yes	No	No	No	1
STAM2	10254	Yes	No	No	No	1
IRX5	10265	Yes	No	No	No	1
PRSS16	10279	Yes	No	No	No	1
APC2	10297	Yes	No	No	No	1
APBB3	10307	Yes	No	No	No	1
UNG2	10309	Yes	No	No	No	1
TCIRG1	10312	Yes	No	No	No	1
KBTBD10	10324	Yes	No	No	No	1
TLR6	10333	Yes	No	No	No	1
RNF3	10336	Yes	No	No	No	1
KLF2	10365	Yes	No	No	No	1
K-ALPHA-1	10376	Yes	No	No	No	1
BTN3A3	10384	Yes	No	No	No	1
BTN2A2	10385	Yes	No	No	No	1
SPON2	10417	Yes	No	No	No	1
ARIH2	10425	Yes	No	No	No	1
TIMM23	10431	Yes	No	No	No	1
RBM14	10432	Yes	No	No	No	1
CDC42EP2	10435	Yes	No	No	No	1
PPIE	10450	Yes	No	No	No	1
MERTK	10461	Yes	No	No	No	1
HOXB13	10481	Yes	No	No	No	1
NCOA2	10499	Yes	No	No	No	1
APPBP2	10513	Yes	No	No	No	1
DDX17	10521	Yes	No	No	No	1
APG7L	10533	Yes	No	No	No	1
CCT4	10575	Yes	No	No	No	1
DRAP1	10589	Yes	No	No	No	1
PAIP1	10605	Yes	No	No	No	1
MXD4	10608	Yes	No	No	No	1
SIAT7B	10610	Yes	No	No	No	1
ARID3B	10620	Yes	No	No	No	1
IMP-2	10644	Yes	No	No	No	1
KHDRBS1	10657	Yes	No	No	No	1
AVIL	10677	Yes	No	No	No	1
MGEA5	10724	Yes	No	No	No	1
TEBP	10728	Yes	No	No	No	1
TCFL5	10732	Yes	No	No	No	1
PTTG2	10744	Yes	No	No	No	1
MTHFD2	10797	Yes	No	No	No	1
HSPH1	10808	Yes	No	No	No	1
NOXA1	10811	Yes	No	No	No	1
FTCD	10841	Yes	No	No	No	1
SRCAP	10847	Yes	No	No	No	1
MAGED2	10916	Yes	No	No	No	1
BAT8	10919	Yes	No	No	No	1
SMPDL3A	10924	Yes	No	No	No	1
RALBP1	10928	Yes	No	No	No	1
EHD1	10938	Yes	No	No	No	1
HNRPA0	10949	Yes	No	No	No	1
BTG3	10950	Yes	No	No	No	1
ASCC3	10973	Yes	No	No	No	1
C10orf116	10974	Yes	No	No	No	1
MAPRE2	10982	Yes	No	No	No	1
IL24	11009	Yes	No	No	No	1
RAB35	11021	Yes	No	No	No	1
RAB31	11031	Yes	No	No	No	1
SBLF	11037	Yes	No	No	No	1
POLS	11044	Yes	No	No	No	1
DDX52	11056	Yes	No	No	No	1
TPPP	11076	Yes	No	No	No	1
DATF1	11083	Yes	No	No	No	1
BTN2A1	11120	Yes	No	No	No	1
TBC1D8	11138	Yes	No	No	No	1
WDR45	11152	Yes	No	No	No	1
SPFH2	11160	Yes	No	No	No	1
LZTS1	11178	Yes	No	No	No	1
RASSF1	11186	Yes	No	No	No	1
PRAF2	11230	Yes	No	No	No	1
POLG2	11232	Yes	No	No	No	1
USP18	11274	Yes	No	No	No	1
U2AF2	11338	Yes	No	No	No	1
ZNFN1A2	22807	Yes	No	No	No	1
MRAS	22808	Yes	No	No	No	1
ATF5	22809	Yes	No	No	No	1
PHLDA1	22822	Yes	No	No	No	1
DLGAP4	22839	Yes	No	No	No	1
ANKRD26	22852	Yes	No	No	No	1
ENPP4	22875	Yes	No	No	No	1
ZHX2	22882	Yes	No	No	No	1
UBCE7IP5	22888	Yes	No	No	No	1
Cep164	22897	Yes	No	No	No	1
KIFAP3	22920	Yes	No	No	No	1
KIAA0980	22981	Yes	No	No	No	1
DAAM1	23002	Yes	No	No	No	1
MAPKBP1	23005	Yes	No	No	No	1
KIAA0265	23008	Yes	No	No	No	1
STK38L	23012	Yes	No	No	No	1
FAIM2	23017	Yes	No	No	No	1
ZHX3	23051	Yes	No	No	No	1
RAB6IP2	23085	Yes	No	No	No	1
SLAC2-B	23086	Yes	No	No	No	1
KIAA0276	23142	Yes	No	No	No	1
SYNE2	23224	Yes	No	No	No	1
PLCL2	23228	Yes	No	No	No	1
ANKRD28	23243	Yes	No	No	No	1
TSPYL4	23270	Yes	No	No	No	1
RAP140	23272	Yes	No	No	No	1
KLHL18	23276	Yes	No	No	No	1
CSTF2T	23283	Yes	No	No	No	1
KIF13B	23303	Yes	No	No	No	1
TRIM2	23321	Yes	No	No	No	1
NEDD4L	23327	Yes	No	No	No	1
KIAA1043	23331	Yes	No	No	No	1
SYNE1	23345	Yes	No	No	No	1
SR140	23350	Yes	No	No	No	1
PSD3	23362	Yes	No	No	No	1
TENC1	23371	Yes	No	No	No	1
ZFPM2	23414	Yes	No	No	No	1
MLYCD	23417	Yes	No	No	No	1
SF3B1	23451	Yes	No	No	No	1
HEY1	23462	Yes	No	No	No	1
MYST4	23522	Yes	No	No	No	1
SRRM2	23524	Yes	No	No	No	1
ADAT1	23536	Yes	No	No	No	1
DDAH1	23576	Yes	No	No	No	1
MTVR1	23625	Yes	No	No	No	1
KCNE1L	23630	Yes	No	No	No	1
SSBP2	23635	Yes	No	No	No	1
PITPNB	23760	Yes	No	No	No	1
TP53TG3	24150	Yes	No	No	No	1
C22orf4	25771	Yes	No	No	No	1
KIAA0889	25781	Yes	No	No	No	1
NESG1	25790	Yes	No	No	No	1
ZNF324	25799	Yes	No	No	No	1
BAMBI	25805	Yes	No	No	No	1
TNFAIP8	25816	Yes	No	No	No	1
HECTD1	25831	Yes	No	No	No	1
RAB26	25837	Yes	No	No	No	1
ARMC8	25852	Yes	No	No	No	1
DKFZP564J102	25854	Yes	No	No	No	1
WWTR1	25937	Yes	No	No	No	1
MR-1	25953	Yes	No	No	No	1
L3MBTL	26013	Yes	No	No	No	1
LRP10	26020	Yes	No	No	No	1
PLEKHG3	26030	Yes	No	No	No	1
PPP1R16B	26051	Yes	No	No	No	1
DNM3	26052	Yes	No	No	No	1
GGA1	26088	Yes	No	No	No	1
DKFZP586K1520	26106	Yes	No	No	No	1
PYGO1	26108	Yes	No	No	No	1
DKFZP564D166	26115	Yes	No	No	No	1
PAI-RBP1	26135	Yes	No	No	No	1
TES	26136	Yes	No	No	No	1
KIF26A	26153	Yes	No	No	No	1
DKFZP434B172	26172	Yes	No	No	No	1
FBXO22	26263	Yes	No	No	No	1
FBXO4	26272	Yes	No	No	No	1
FGF20	26281	Yes	No	No	No	1
FGF21	26291	Yes	No	No	No	1
LHX6	26468	Yes	No	No	No	1
PTPN18	26469	Yes	No	No	No	1
CHIC2	26511	Yes	No	No	No	1
RGS17	26575	Yes	No	No	No	1
STK23	26576	Yes	No	No	No	1
SEC22L2	26984	Yes	No	No	No	1
BBC3	27113	Yes	No	No	No	1
ASAHL	27163	Yes	No	No	No	1
DISC1	27185	Yes	No	No	No	1
OXGR1	27199	Yes	No	No	No	1
SERP1	27230	Yes	No	No	No	1
RBMS3	27303	Yes	No	No	No	1
RABGEF1	27342	Yes	No	No	No	1
APOBEC3C	27350	Yes	No	No	No	1
CECR6	27439	Yes	No	No	No	1
MAGEH1	28986	Yes	No	No	No	1
HT001	28990	Yes	No	No	No	1
PRO0149	29035	Yes	No	No	No	1
SNX10	29887	Yes	No	No	No	1
SHD1	29901	Yes	No	No	No	1
PADI1	29943	Yes	No	No	No	1
PNMA3	29944	Yes	No	No	No	1
SERTAD3	29946	Yes	No	No	No	1
UBQLN1	29979	Yes	No	No	No	1
ZNF295	49854	Yes	No	No	No	1
CYHR1	50626	Yes	No	No	No	1
IPLA2(GAMMA)	50640	Yes	No	No	No	1
IRX4	50805	Yes	No	No	No	1
F11R	50848	Yes	No	No	No	1
CLECSF6	50856	Yes	No	No	No	1
CGI-14	51005	Yes	No	No	No	1
C20orf45	51012	Yes	No	No	No	1
CGI-62	51101	Yes	No	No	No	1
LACTB2	51110	Yes	No	No	No	1
LOC51152	51152	Yes	No	No	No	1
ZNF580	51157	Yes	No	No	No	1
RAB9B	51209	Yes	No	No	No	1
IER5	51278	Yes	No	No	No	1
GMIP	51291	Yes	No	No	No	1
NRN1	51299	Yes	No	No	No	1
BHC80	51317	Yes	No	No	No	1
LOC51321	51321	Yes	No	No	No	1
CDC40	51362	Yes	No	No	No	1
PLA1A	51365	Yes	No	No	No	1
EDD	51366	Yes	No	No	No	1
CRLF3	51379	Yes	No	No	No	1
CSAD	51380	Yes	No	No	No	1
ZNF589	51385	Yes	No	No	No	1
EIF3S6IP	51386	Yes	No	No	No	1
HEMK1	51409	Yes	No	No	No	1
ZFD25	51427	Yes	No	No	No	1
FAM8A1	51439	Yes	No	No	No	1
YTHDF2	51441	Yes	No	No	No	1
IHPK2	51447	Yes	No	No	No	1
PRRX2	51450	Yes	No	No	No	1
IL23A	51561	Yes	No	No	No	1
KLF13	51621	Yes	No	No	No	1
CGI-77	51633	Yes	No	No	No	1
MRPS23	51649	Yes	No	No	No	1
OAZ3	51686	Yes	No	No	No	1
HECA	51696	Yes	No	No	No	1
VPS29	51699	Yes	No	No	No	1
RAPGEF6	51735	Yes	No	No	No	1
WWOX	51741	Yes	No	No	No	1
RAB8B	51762	Yes	No	No	No	1
BCL11A	53335	Yes	No	No	No	1
IL17D	53342	Yes	No	No	No	1
ZFYVE1	53349	Yes	No	No	No	1
FGFRL1	53834	Yes	No	No	No	1
RAB4B	53916	Yes	No	No	No	1
MIG-6	54206	Yes	No	No	No	1
GDAP1	54332	Yes	No	No	No	1
FLJ20232	54471	Yes	No	No	No	1
FLJ10287	54482	Yes	No	No	No	1
DGCR8	54487	Yes	No	No	No	1
FLJ20273	54502	Yes	No	No	No	1
FLJ11235	54508	Yes	No	No	No	1
MTRF1L	54516	Yes	No	No	No	1
FAM35A	54537	Yes	No	No	No	1
EPB41L4B	54566	Yes	No	No	No	1
GTPBP2	54676	Yes	No	No	No	1
CROT	54677	Yes	No	No	No	1
RNF153	54708	Yes	No	No	No	1
PCSK4	54760	Yes	No	No	No	1
DRE1	54800	Yes	No	No	No	1
FAM29A	54801	Yes	No	No	No	1
SAMD9	54809	Yes	No	No	No	1
FLJ20130	54830	Yes	No	No	No	1
FGIF	54851	Yes	No	No	No	1
FLJ20203	54856	Yes	No	No	No	1
PGPEP1	54858	Yes	No	No	No	1
PALMD	54873	Yes	No	No	No	1
PXK	54899	Yes	No	No	No	1
WHSC1L1	54904	Yes	No	No	No	1
ZNF434	54925	Yes	No	No	No	1
FLJ20421	54928	Yes	No	No	No	1
CXorf17	54954	Yes	No	No	No	1
BANP	54971	Yes	No	No	No	1
C9orf95	54981	Yes	No	No	No	1
MARCH-I	55016	Yes	No	No	No	1
USP47	55031	Yes	No	No	No	1
FLJ20758	55037	Yes	No	No	No	1
FLJ10052	55061	Yes	No	No	No	1
OXR1	55074	Yes	No	No	No	1
FLJ10178	55086	Yes	No	No	No	1
FLJ10199	55092	Yes	No	No	No	1
FLJ10213	55096	Yes	No	No	No	1
VG5Q	55109	Yes	No	No	No	1
FLJ10330	55119	Yes	No	No	No	1
TRIM68	55128	Yes	No	No	No	1
ARMC4	55130	Yes	No	No	No	1
FLJ10415	55139	Yes	No	No	No	1
FLJ10490	55150	Yes	No	No	No	1
GOLPH3L	55204	Yes	No	No	No	1
ARL10C	55207	Yes	No	No	No	1
RCBTB1	55213	Yes	No	No	No	1
LRRC20	55222	Yes	No	No	No	1
RSAFD1	55253	Yes	No	No	No	1
FLJ10902	55254	Yes	No	No	No	1
FLJ10970	55273	Yes	No	No	No	1
CHDH	55349	Yes	No	No	No	1
DNAJA4	55466	Yes	No	No	No	1
SLC35E3	55508	Yes	No	No	No	1
SMPD3	55512	Yes	No	No	No	1
TRIM36	55521	Yes	No	No	No	1
GALNT10	55568	Yes	No	No	No	1
H41	55573	Yes	No	No	No	1
FAM46A	55603	Yes	No	No	No	1
KIF21A	55605	Yes	No	No	No	1
