Gene Symbol	RefSeq ID	p-value_columnar_vs_junction	Fold-Change_columnar_vs_junction	p-value_columnar_vs_squamous	Fold-Change_columnar_vs_squamous	p-value_junction_vs_squamous	Fold-Change_junction_vs_squamous
UACA	NM_018003	0,00637322	-2,306	0,000213756	-5,03647	0,00864562	-2,18407
ARPC2	NM_152862	0,016532	-2,63125	0,000224535	-10,0568	0,00383046	-3,82205
RBP7	NM_052960	0,292944	1,2186	0,000829754	-2,88365	0,000330337	-3,514
JAG1	NM_000214	0,623123	1,08304	0,000606124	-2,74292	0,00040204	-2,9707
MALL	NM_005434	0,569049	-1,2178	0,000393369	-10,1913	0,000634639	-8,36864
ARL8B	NM_018184	0,516331	-1,11109	0,000384183	-2,9711	0,000664823	-2,67404
CEACAM5	NM_004363	0,0691301	-1,91476	0,00026624	-9,3903	0,00164819	-4,90417
UBE2R2	NM_017811	0,0345546	-1,56523	0,00024689	-3,56646	0,00244437	-2,27856
EPB41L4A	NM_022140	0,719334	-1,06455	0,000434419	-3,17955	0,000586224	-2,98676
CSNK2B	NM_001320	0,53585	1,08239	0,00070876	-2,15332	0,000418008	-2,33073
ORMDL2	NM_014182	0,282887	-1,23224	0,00035815	-3,59043	0,000931835	-2,91374
PGAP1	NM_024989	0,275785	-1,15906	0,000357618	-2,43291	0,000946145	-2,09904
DST	NM_001144769	0,386812	-1,14364	0,000391637	-2,77754	0,000833718	-2,42868
SPTLC1	NM_006415	0,0862672	-1,40328	0,000307921	-3,40981	0,00170962	-2,42988
UPP1	NM_003364	0,547979	-1,10287	0,000449524	-2,90118	0,000753841	-2,63057
TMPRSS11F	NM_207407	0,514701	-1,15455	0,000441306	-4,23066	0,00077459	-3,66432
NDUFA6	NM_002490	0,113711	1,45346	0,00151544	-3,03848	0,000324581	-4,41631
VDAC2	NM_003375	0,273294	-1,36846	0,000380998	-6,40338	0,00102415	-4,67928
SSFA2	NM_001130445	0,162619	-1,26641	0,000346212	-2,93896	0,00129219	-2,3207
SEC24B	NM_006323	0,615888	-1,06354	0,000484483	-2,21535	0,000746026	-2,08299
CDA	NM_001785	0,125096	1,27167	0,00151964	-2,09903	0,000342497	-2,66929
NCCRP1	NM_001001414	0,25775	1,16376	0,00109763	-2,03407	0,000390927	-2,36718
TMEM40	NM_018306	0,321686	1,30457	0,000997495	-4,3398	0,000410099	-5,66158
CLTB	NM_007097	0,675184	-1,11961	0,000520442	-5,63608	0,00074693	-5,03398
KLK8	NM_144505	0,571081	1,08761	0,000814413	-2,38382	0,00049743	-2,59267
KIF21A	NM_017641	0,577768	-1,10175	0,000501132	-3,0576	0,000813489	-2,77521
ABHD5	NM_016006	0,408048	-1,18808	0,000458915	-3,80564	0,000958159	-3,20318
IRF6	NM_006147	0,663146	-1,13211	0,000532585	-6,16036	0,000776845	-5,44149
PARD6G	NM_032510	0,974886	-1,00364	0,000631358	-2,05246	0,000648662	-2,04502
PLAGL2	NM_002657	0,243029	-1,19764	0,000413054	-2,66353	0,00121802	-2,22398
MARCKS	NM_002356	0,0290498	-1,59121	0,00030928	-3,34366	0,00384392	-2,10133
C18orf25	NM_145055	0,916057	1,02078	0,000674363	-3,32373	0,000615913	-3,39279
PDCD4	NM_145341	0,406151	-1,25247	0,000482279	-5,59804	0,00101608	-4,46959
SDC1	NM_001006946	0,988007	-1,00275	0,000663665	-3,08551	0,000672343	-3,07707
MPZL2	NM_144765	0,358281	-1,31766	0,000469346	-6,71752	0,00107819	-5,09809
ZFP36	NM_003407	0,989145	-1,00341	0,000669781	-4,68385	0,000677713	-4,66792
MYCBP2	NM_015057	0,390469	-1,16315	0,00048324	-3,0517	0,0010477	-2,62365
SCAPER	NM_020843	0,271365	1,18127	0,00125731	-2,19103	0,000452926	-2,58821
GCLC	NM_001498	0,927595	-1,01493	0,000663062	-2,73786	0,000717522	-2,69759
SLC20A2	NM_006749	0,149303	1,24979	0,00165914	-2,07215	0,000405371	-2,58976
PLBD1	NM_024829	0,206436	-1,34082	0,000431792	-4,23888	0,0014346	-3,16141
SGEF	NM_015595	0,595813	1,06651	0,000897945	-2,01266	0,000562158	-2,14652
COX7B	NM_001866	0,253034	-1,66198	0,00045802	-15,9971	0,00133695	-9,62533
CD68	NM_001251	0,134689	-1,31133	0,000410639	-3,01646	0,0018096	-2,30031
TUBB2A	NM_001069	0,0372363	-2,1537	0,000357475	-7,99058	0,00386866	-3,71017
C20orf11	NM_017896	0,112593	-1,56289	0,000410278	-5,43316	0,00204768	-3,47634
UBC	NM_021009	0,013207	-2,46811	0,000338317	-6,65896	0,00877468	-2,698
SYNCRIP	NM_001159677	0,0753604	-1,37097	0,00039373	-2,83578	0,00258585	-2,06845
TMPRSS11E	NM_014058	0,343236	1,41211	0,00125673	-6,77263	0,000523018	-9,5637
C1orf21	NM_030806	0,35482	-1,24749	0,000533331	-4,39134	0,00125446	-3,52012
SLC38A2	NM_018976	0,147741	-1,67207	0,000449663	-8,51934	0,00189818	-5,09509
DENND2C	NM_198459	0,685089	-1,07312	0,000655419	-2,91457	0,000940782	-2,71597
SPRR2C	NR_003062	0,361057	-1,31325	0,000551093	-6,2825	0,00128545	-4,78394
DYNLT3	NM_006520	0,931655	-1,0388	0,000764264	-14,4329	0,000824641	-13,8937
CLIP1	NM_002956	0,212931	-1,24551	0,000494873	-2,92019	0,00165147	-2,34457
UNQ1887	NM_139015	0,957397	-1,01131	0,000788462	-3,52206	0,000826791	-3,48267
COX8A	NM_004074	0,083524	-1,55874	0,000435278	-4,44241	0,00273428	-2,85
CLOCK	NM_004898	0,298105	-1,17383	0,000546856	-2,55848	0,00146325	-2,17959
ZNF750	NM_024702	0,607526	1,21123	0,0010673	-8,01929	0,000670577	-9,71318
RBBP8	NM_002894	0,0243103	-2,08318	0,000392897	-5,70787	0,00630792	-2,73997
RABGEF1	NM_014504	0,737783	-1,08115	0,000724323	-4,09246	0,000978441	-3,7853
VPS4B	NM_004869	0,450311	-1,22046	0,000617459	-5,00666	0,00123803	-4,10226
BTBD6	NM_033271	0,0681879	1,49987	0,00327032	-2,36594	0,000444942	-3,54861
CA12	NM_001218	0,456006	1,17152	0,00127064	-3,09827	0,000637699	-3,6297
ODC1	NM_002539	0,939403	-1,03297	0,000841784	-12,4227	0,000901291	-12,0263
LAMP2	NM_002294	0,525534	-1,15801	0,000673215	-4,04808	0,00120633	-3,49572
ITGA2	NM_002203	0,0327546	-1,58858	0,000422718	-3,23262	0,0054395	-2,03491
HSPB8	NM_014365	0,871319	1,02786	0,000947971	-2,661	0,000819265	-2,73514
TJP1	NM_003257	0,826375	-1,06115	0,000805429	-4,99488	0,00098183	-4,70702
SLC44A2	NM_001145056	0,849601	1,02846	0,000975271	-2,3368	0,00082175	-2,40332
SLC16A9	NM_194298	0,48849	1,14256	0,00129494	-2,78496	0,000681172	-3,18198
FABP4	NM_001442	0,975508	-1,00879	0,000909681	-5,25131	0,000935332	-5,20557
BTG1	NM_001731	0,125542	-1,42282	0,000521844	-3,79978	0,00256341	-2,6706
ETFA	NM_000126	0,67954	-1,09793	0,000781692	-3,83612	0,00114103	-3,49397
ATP1B3	NM_001679	0,176553	-1,51251	0,000561903	-6,0183	0,0021969	-3,97901
IKZF2	NM_001079526	0,436216	-1,1138	0,000688772	-2,28497	0,00143202	-2,05151
POLR1D	NM_152705	0,542728	1,15733	0,0012936	-3,61291	0,000735357	-4,18132
ADIPOR2	NM_024551	0,892982	-1,02105	0,000894786	-2,46843	0,00101138	-2,41753
RAPGEF5	NM_012294	0,119379	-1,32493	0,000530746	-2,83062	0,00271591	-2,13644
CASP4	NM_033306	0,345219	-1,20467	0,000652681	-3,23584	0,00160963	-2,68608
EXPH5	NM_015065	0,63032	-1,10856	0,000781575	-3,55943	0,00121831	-3,21086
PARD3	NM_019619	0,561677	1,14757	0,001293	-3,56528	0,000754474	-4,09141
GNAI3	NM_006496	0,308377	-1,32458	0,000643954	-5,13338	0,00172329	-3,87548
COX6B1	NM_001863	0,302132	-1,37587	0,000644671	-6,23617	0,00175171	-4,53253
NCOA1	NM_147223	0,600194	-1,08036	0,000782068	-2,39287	0,00127129	-2,21489
CBR3	NM_001236	0,0283348	2,83791	0,0070645	-4,28424	0,000465345	-12,1583
PRC1	NM_003981	0,418913	1,18492	0,00152362	-2,92795	0,000708043	-3,46938
CUL3	NM_003590	0,0572313	-1,50591	0,000503715	-3,26121	0,00441721	-2,16561
PITPNA	NM_006224	0,750077	1,05536	0,00117431	-2,54305	0,000875409	-2,68382
STXBP5	NM_001127715	0,236688	-1,21677	0,000636302	-2,63455	0,00206282	-2,16521
SVIL	NM_021738	0,63461	1,09089	0,00132189	-2,66932	0,000848457	-2,91193
EIF4EBP2	NM_004096	0,00576422	-4,19756	0,000513042	-10,1178	0,0424301	-2,4104
PLP2	NM_002668	0,127587	-2,11088	0,000589873	-16,1625	0,0029538	-7,65674
CLDN4	NM_001305	0,132972	-1,3423	0,000604266	-3,03537	0,00295281	-2,26132
TACSTD2	NM_002353	0,0533458	-1,69598	0,000539449	-4,36526	0,00512638	-2,57389
ACTG1	NM_001614	0,0210873	-3,21804	0,000517372	-12,709	0,0107784	-3,94929
TIPARP	NM_015508	0,204022	-1,64938	0,000669783	-9,55654	0,00244463	-5,79404
MYC	NM_002467	0,53591	-1,19904	0,000854799	-5,46148	0,00153922	-4,55489
RDH12	NM_152443	0,476084	1,11906	0,00165395	-2,2261	0,000835254	-2,49114
PTPLB	NM_198402	0,0280236	-1,72422	0,000539953	-3,54472	0,00885119	-2,05584
MXD1	NM_002357	0,0410565	2,34882	0,00667247	-3,80439	0,000558641	-8,93583
TPX2	NM_012112	0,920176	-1,01337	0,00109506	-2,10538	0,0012026	-2,0776
NOP10	NM_018648	0,407546	1,336	0,00182126	-5,61781	0,0008148	-7,50541
FEM1C	NM_020177	0,397558	-1,1471	0,000817288	-2,54229	0,00186345	-2,21627
FAM46B	NM_052943	0,896983	-1,01991	0,00112909	-2,33922	0,00127539	-2,29355
OSTF1	NM_012383	0,857172	-1,04871	0,00111258	-4,38428	0,00131835	-4,18064
RALB	NM_002881	0,0635185	-1,69676	0,000618117	-4,56662	0,00535738	-2,69137
GNG12	NM_018841	0,316779	-1,35491	0,000808815	-5,61701	0,0021953	-4,14566
ABI1	NM_005470	0,144052	-1,60951	0,000699531	-6,09076	0,00333841	-3,78423
RNF141	NM_016422	0,847307	1,04484	0,00135902	-3,40642	0,00113263	-3,55917
NPEPPS	NM_006310	0,462728	-1,29601	0,00091224	-7,42546	0,00186565	-5,72948
TIAM1	NM_003253	0,974573	1,00465	0,00127495	-2,21368	0,00123707	-2,22399
PPP4R1	NM_001042388	0,300803	-1,33434	0,000822286	-4,83413	0,00232793	-3,62287
GAN	NM_022041	0,946984	-1,01524	0,0012186	-3,49679	0,00129779	-3,4443
TMEM117	NM_032256	0,221187	-1,27194	0,000774628	-3,01053	0,00273946	-2,36689
CHTF8	NM_001039690	0,432537	-1,12916	0,000921361	-2,39687	0,0019926	-2,12269
ANKRD37	NM_181726	0,490391	-1,14071	0,000959965	-2,9344	0,00188137	-2,57244
CDKN1B	NM_004064	0,720558	-1,05581	0,00110467	-2,33176	0,00155592	-2,20851
C15orf41	NM_001130010	0,162125	1,4503	0,00341602	-2,97562	0,000765993	-4,31556
NCOA2	NM_006540	0,943942	-1,01013	0,0012883	-2,18213	0,00137774	-2,16025
BHLHE40	NM_003670	0,213061	-1,59733	0,000812201	-8,03836	0,00298214	-5,03239
C10orf99	NM_207373	0,475745	1,14361	0,00204897	-2,49529	0,0010138	-2,85363
ERC1	NM_178037	0,507497	1,1194	0,00203798	-2,29469	0,00106002	-2,56868
FOSB	NM_006732	0,0406979	-1,78105	0,000688273	-4,13773	0,00900884	-2,3232
DHCR24	NM_014762	0,118336	-1,33498	0,00077878	-2,69381	0,00443887	-2,01787
DGKA	NM_201444	0,436037	-1,1351	0,00104449	-2,45355	0,0022765	-2,16153
DLG1	NM_001098424	0,130311	-1,40931	0,000812339	-3,36645	0,00434443	-2,38873
C10orf57	BC022252	0,380601	1,22472	0,00246409	-2,91601	0,00101549	-3,5713
CNOT1	NM_016284	0,456917	-1,16062	0,00107197	-3,00943	0,00225401	-2,59296
PSMD11	NM_002815	0,0667849	-1,47857	0,000756807	-3,00161	0,00674877	-2,03007
ELOVL1	NM_022821	0,23876	1,26433	0,00334698	-2,32037	0,000962896	-2,93371
PRPF40A	NM_017892	0,0303475	-1,78651	0,000753862	-3,64573	0,0133575	-2,0407
RARS	NM_002887	0,0879217	-1,48551	0,000840344	-3,31077	0,00619456	-2,22871
USP25	NM_013396	0,643949	1,07877	0,00210916	-2,23283	0,00133189	-2,40871
MTCH2	NM_014342	0,0952112	-1,6052	0,000872796	-4,31741	0,00610224	-2,68963
PLEKHA1	NM_001001974	0,885356	1,02648	0,00180715	-2,51742	0,00156747	-2,58409
SC4MOL	NM_006745	0,778139	-1,10661	0,00147162	-6,69356	0,00194511	-6,04871
PCBP1	NM_006196	0,0394328	-1,67843	0,000821225	-3,3918	0,0118815	-2,02082
NUDT21	NM_007006	0,471688	-1,14501	0,00127451	-2,7265	0,00265757	-2,38119
HEBP2	NM_014320	0,261219	-1,36687	0,00109645	-4,3729	0,00363584	-3,19921
ALDH3A2	NM_001031806	0,364465	-1,15785	0,00119687	-2,36339	0,00307558	-2,04118
ANP32B	NM_006401	0,0949362	-1,75594	0,000936256	-5,55775	0,00670005	-3,16511
PGD	NM_002631	0,665316	-1,13321	0,0014761	-4,57379	0,00228085	-4,03613
ATP6V1D	NM_015994	0,974834	-1,00973	0,00178864	-4,79204	0,00184576	-4,74589
BARX2	NM_003658	0,187075	1,37216	0,004622	-2,54127	0,00107388	-3,48704
CENPF	NM_016343	0,972938	-1,00479	0,00183946	-2,04525	0,00190297	-2,0355
FERMT1	NM_017671	0,426157	-1,13374	0,00132605	-2,29351	0,00302948	-2,02297
SERPINB3	NM_006919	0,54179	-1,50192	0,00144686	-32,8063	0,00270329	-21,8429
TUBB6	NM_032525	0,688865	1,08882	0,00238769	-2,76671	0,00159151	-3,01246
CCDC6	NM_005436	0,0915032	-1,71704	0,00100328	-4,97213	0,00755629	-2,89577
EEA1	NM_003566	0,593867	1,14678	0,00262455	-3,31983	0,00152182	-3,80711
TMTC3	NM_181783	0,203545	-1,31383	0,00115364	-3,03178	0,00471342	-2,30759
RAP2B	NM_002886	0,62364	-1,09864	0,00155883	-2,70518	0,00257188	-2,4623
ITPR2	NM_002223	0,785572	-1,08845	0,0017536	-4,91397	0,00231052	-4,51464
FGFR1OP2	NM_015633	0,642601	1,08758	0,00258982	-2,3399	0,0016117	-2,54483
MLLT10	NM_004641	0,653986	-1,08387	0,00163394	-2,52383	0,00258357	-2,32855
HECTD1	NM_015382	0,176466	-1,41451	0,00116612	-3,70584	0,00535568	-2,61987
MAPRE1	NM_012325	0,0523353	-1,97707	0,00100066	-5,38047	0,0121492	-2,72144
COPS3	NM_003653	0,405292	1,16185	0,00340503	-2,19037	0,00141651	-2,54489
TSG101	NM_006292	0,290691	-1,20474	0,00130861	-2,48382	0,00410329	-2,06171
PIM1	NM_002648	0,856182	1,03381	0,00229791	-2,43585	0,00191094	-2,51821
RAPGEFL1	NM_016339	0,132539	1,35564	0,00662259	-2,0354	0,00114777	-2,75928
MLLT4	NM_001040001	0,357347	1,22008	0,00382302	-2,48762	0,0014279	-3,03509
CWC15	NM_016403	0,0960559	-1,53037	0,00112254	-3,51656	0,00839937	-2,29786
TOP2A	NM_001067	0,792591	-1,05598	0,00190611	-2,83358	0,0024955	-2,68337
HSDL2	NM_032303	0,741891	-1,06341	0,00185417	-2,56543	0,00260072	-2,41246
RPL10	NM_006013	0,401603	1,23136	0,0037304	-2,88224	0,00152537	-3,54906
EHF	NM_012153	0,198722	1,2834	0,00556407	-2,07274	0,00130217	-2,66016
SLC25A25	NM_001006641	0,353187	1,24313	0,00402876	-2,65678	0,00148207	-3,30271
THOC7	NM_025075	0,0517562	-1,98466	0,00110627	-5,23015	0,0140877	-2,63529
RCOR1	NM_015156	0,979661	-1,00678	0,00225834	-3,64159	0,00231832	-3,61707
RBMS1	NM_016836	0,0264508	-2,01397	0,00111501	-4,04203	0,0269555	-2,00699
MKI67	NM_002417	0,847978	1,04344	0,00258445	-2,8609	0,00212015	-2,98518
CDH1	NM_004360	0,18696	-1,31946	0,00135735	-2,84566	0,0061519	-2,15669
ANXA3	NM_005139	0,556131	-1,15005	0,0018006	-3,29659	0,0033479	-2,86647
GJA1	NM_000165	0,0452871	-4,32442	0,00116949	-28,7921	0,017191	-6,65803
MPP7	NM_173496	0,064057	-1,70407	0,00122608	-3,85035	0,0133897	-2,25951
GLTP	NM_016433	0,866923	-1,03785	0,00228901	-2,93543	0,00272553	-2,82839
PIK3R1	NM_181523	0,624169	1,15979	0,00332452	-3,85666	0,00198252	-4,47291
LNX2	NM_153371	0,370232	-1,23168	0,00167991	-3,18909	0,00446404	-2,58923
CTNND1	NM_001085458	0,32639	-1,3232	0,0016504	-4,12729	0,0048746	-3,11916
CBR1	NM_001757	0,632218	-1,12238	0,00203451	-3,28338	0,00337494	-2,92536
YWHAB	NM_003404	0,0427614	-2,27615	0,00129628	-6,16905	0,0209435	-2,7103
STX12	NM_177424	0,154381	-1,36979	0,00148089	-2,90638	0,00802914	-2,12178
EGR1	NM_001964	0,0866039	-1,66214	0,00137684	-4,01822	0,011982	-2,4175
PSMA4	NM_002789	0,0127981	-3,29865	0,00137157	-6,76077	0,0798649	-2,04955
MBD2	NM_003927	0,182424	-1,31588	0,00154555	-2,71189	0,00735775	-2,06089
DUSP22	NM_020185	0,448229	-1,13635	0,00191355	-2,2882	0,00436557	-2,01365
STK38L	NM_015000	0,0330189	-1,94196	0,00132793	-3,89128	0,0278247	-2,00379
S100A10	NM_002966	0,130044	-3,08034	0,00150659	-34,2052	0,00948411	-11,1044
LRRFIP1	NM_001137550	0,6588	-1,08434	0,00225647	-2,42692	0,00361622	-2,23816
BLOC1S2	NM_001001342	0,275051	-1,27764	0,00175843	-2,9739	0,006073	-2,32765
PHLDA1	NM_007350	0,640601	-1,10787	0,00226693	-2,8832	0,00373897	-2,60247
RER1	NM_007033	0,297906	-1,29206	0,00179894	-3,30604	0,00582489	-2,55872
CKAP2	NM_018204	0,633817	-1,13162	0,00226681	-3,49769	0,00377916	-3,09088
NSDHL	NM_001129765	0,704028	-1,10456	0,00237165	-3,51153	0,00355851	-3,17912
ATP2A2	NM_170665	0,0297558	-2,04501	0,00138612	-4,10424	0,0328225	-2,00696
GPSN2	NM_138501	0,826947	-1,05793	0,00256891	-3,39249	0,00324076	-3,20672
ACTR3	NM_005721	0,0904143	-1,92962	0,0014822	-6,05588	0,0127094	-3,13838
TMEM87A	NM_015497	0,17004	-1,41878	0,00162106	-3,38011	0,00827752	-2,38241
MED13L	NM_015335	0,675016	-1,09499	0,00234849	-2,82649	0,00367998	-2,5813
GAB1	NM_207123	0,583071	-1,17623	0,00225138	-4,1521	0,00407588	-3,53001
S100A11	NM_005620	0,405029	-1,25309	0,00204175	-3,69399	0,005144	-2,9479
ELF1	NM_172373	0,120236	-1,63841	0,00160141	-4,41007	0,01096	-2,69167
SNAI2	NM_003068	0,48676	-1,19997	0,00216608	-3,52998	0,00464366	-2,94172
GGH	NM_003878	0,651866	-1,07989	0,0024129	-2,2533	0,00392609	-2,0866
C14orf1	NM_007176	0,515165	-1,25688	0,00226387	-5,36616	0,00462119	-4,26944
TAF13	NM_005645	0,0820888	-1,84735	0,00157767	-4,98138	0,0150261	-2,6965
NDUFA12	NM_018838	0,122534	-1,46332	0,00168191	-3,13265	0,0114758	-2,14079
S100A16	NM_080388	0,132134	-2,11532	0,00174336	-9,98623	0,0112484	-4,7209
TYMS	NM_001071	0,346235	-1,19206	0,0021309	-2,42069	0,00621263	-2,03067
TXNDC17	NM_032731	0,905965	-1,04909	0,00308838	-6,39946	0,00350847	-6,09999
PPFIBP2	NM_003621	0,683214	1,06938	0,00425676	-2,01183	0,00272657	-2,15142
DCTN2	NM_006400	0,674044	-1,08285	0,00274228	-2,41231	0,0043445	-2,22774
CYP4F12	NM_023944	0,942024	-1,01217	0,0032707	-2,12148	0,00353894	-2,09598
HDDC2	NM_016063	0,656111	-1,08627	0,00272701	-2,37463	0,00444291	-2,18604
IQGAP1	NM_003870	0,349832	-1,23943	0,00222355	-2,9438	0,00646347	-2,37512
PI3	NM_002638	0,385829	-1,76024	0,0022934	-21,4207	0,00612975	-12,1692
SKP1	NM_006930	0,0528203	-2,20263	0,00169135	-5,84853	0,0247607	-2,65524
C12orf29	NM_001009894	0,726914	-1,08202	0,00289278	-2,8337	0,00423786	-2,61889
MRPS15	NM_031280	0,258521	-1,2666	0,00209577	-2,65657	0,007879	-2,09741
SLURP1	NM_020427	0,909656	1,02455	0,00372603	-2,56262	0,00329317	-2,62554
PPP1CC	NM_002710	0,0819696	-1,96474	0,00178742	-5,60283	0,0177352	-2,85169
DNAJA2	NM_005880	0,373067	-1,22942	0,00233756	-2,9552	0,00645818	-2,40373
LAPTM4A	NM_014713	0,0192744	-3,53575	0,00178405	-8,33838	0,0746201	-2,3583
EFNB2	NM_004093	0,536207	1,21302	0,00522108	-3,52294	0,00262175	-4,27339
ANXA1	NM_000700	0,107773	-4,04104	0,00185682	-49,7238	0,0145762	-12,3047
ARHGEF12	NM_015313	0,117146	-1,47956	0,00188147	-3,09243	0,0137682	-2,09009
FDFT1	NM_004462	0,124335	-1,47656	0,00189777	-3,15245	0,0132074	-2,135
FKBP5	NM_001145775	0,999363	1,00017	0,00357445	-2,55114	0,00357134	-2,55157
PTTG1	NM_004219	0,823034	1,10738	0,00407321	-7,154	0,00318914	-7,92222
DYNLL1	NM_001037494	0,103551	-5,74252	0,00186732	-122,81	0,0152142	-21,386
EPHX3	NM_024794	0,784384	1,10318	0,00420511	-4,6476	0,00311575	-5,12712
ALDH9A1	NM_000696	0,750804	-1,06633	0,00305256	-2,51887	0,00432564	-2,36219
ZDHHC21	NM_178566	0,640316	1,12482	0,00481502	-2,83117	0,00287122	-3,18457
NFE2L2	NM_001145412	0,370214	-1,38976	0,00239389	-5,51515	0,00668213	-3,96841
ROD1	NM_005156	0,223346	-1,51723	0,00215267	-4,83372	0,00924322	-3,18588
UGCG	NM_003358	0,105803	-1,53233	0,00193136	-3,24246	0,0155871	-2,11604
KLF3	NM_016531	0,88527	1,0442	0,00407845	-3,64931	0,00348041	-3,81061
RUFY3	NM_001037442	0,797807	-1,0552	0,00331318	-2,56925	0,00439489	-2,43486
METAP1	NM_015143	0,920347	1,02425	0,00402047	-2,8245	0,00360175	-2,89298
WEE1	NM_003390	0,348098	-1,30027	0,00249877	-3,61544	0,00742186	-2,78052
DNAJB1	NM_006145	0,65585	1,20456	0,00510727	-5,51002	0,00310693	-6,63716
RABGAP1	NM_012197	0,755748	1,0614	0,00468084	-2,22776	0,00331533	-2,36454
DUSP16	NM_030640	0,919369	-1,02095	0,00371201	-2,46517	0,004151	-2,4146
C14orf2	NM_001127393	0,962646	1,01407	0,00405411	-3,63529	0,00384969	-3,68643
ZNF770	NM_014106	0,662028	-1,10227	0,00327706	-2,71529	0,00535163	-2,46337
ACAT2	NM_005891	0,782427	1,06753	0,00481829	-2,67614	0,00354176	-2,85686
EHBP1	NM_015252	0,412769	-1,1701	0,00279458	-2,38553	0,00720029	-2,03875
RNF168	NM_152617	0,526283	1,14823	0,00624291	-2,3303	0,00303561	-2,67573
LTA4H	NM_000895	0,981569	1,00468	0,00421148	-2,38105	0,00410468	-2,39219
LCE3D	NM_032563	0,785556	-1,24184	0,00364278	-33,4865	0,00493812	-26,9653
CXCL17	NM_198477	0,117279	-1,74899	0,00223479	-4,74756	0,0171266	-2,71446
NEBL	NM_006393	0,206288	-2,05815	0,00244116	-12,801	0,0115355	-6,21964
SH3BGRL3	NM_031286	0,315495	-1,35122	0,0027021	-3,84901	0,00888252	-2,84853
SPARCL1	NM_001128310	0,310415	-1,39209	0,00270039	-4,32539	0,00900818	-3,10713
CCDC56	NM_001040431	0,304716	-1,32145	0,00271168	-3,37737	0,00920588	-2,55581
DDX6	NM_004397	0,523259	-1,27016	0,00318048	-5,33334	0,00660783	-4,19894
EIF2S1	NM_004094	0,0622788	-1,82245	0,00221063	-3,82	0,0303989	-2,09607
CLDN7	NM_001307	0,149712	-1,56083	0,00241255	-3,86633	0,015138	-2,47709
VAMP8	NM_003761	0,0487038	-2,30453	0,00219677	-5,64228	0,0382788	-2,44835
USP7	NM_003470	0,351936	-1,24506	0,00287305	-2,8634	0,00862209	-2,29981
FGFR2	NM_000141	0,893354	1,0392	0,00484885	-3,30212	0,00417073	-3,43156
DSTN	NM_001011546	0,070021	-2,21157	0,00225719	-6,25498	0,0279513	-2,82831
EMP2	NM_001424	0,76176	1,11525	0,00539313	-4,30712	0,00383014	-4,80353
COPS2	NM_004236	0,574367	-1,11288	0,00340313	-2,3225	0,0064713	-2,08693
GATM	NM_001482	0,386871	-1,26366	0,00302404	-3,32719	0,0083668	-2,63299
UBE2K	NM_005339	0,0985622	-1,83314	0,00238627	-4,75677	0,021834	-2,59487
DIAPH2	NM_007309	0,432565	-1,20034	0,00317131	-2,80239	0,00793706	-2,33467
CSNK1A1	NM_001025105	0,864554	-1,03786	0,00423673	-2,54241	0,00513691	-2,44966
PYGL	NM_002863	0,789695	1,05366	0,00546507	-2,2119	0,00404034	-2,33058
HDAC1	NM_004964	0,748347	-1,05845	0,00395126	-2,15327	0,00568745	-2,03436
TUBA4A	NM_006000	0,660894	-1,13989	0,00373553	-3,67932	0,00616322	-3,22778
DBI	NM_020548	0,335688	-1,56381	0,0030151	-7,7604	0,00952172	-4,9625
VAMP3	NM_004781	0,318808	-1,35841	0,00302248	-3,86044	0,0100163	-2,84188
CD59	NM_203330	0,095628	-1,97196	0,00249954	-5,54067	0,02384	-2,80972
BBOX1	NM_003986	0,924653	-1,02491	0,00464133	-2,98611	0,00516741	-2,91355
PRKX	NM_005044	0,245311	1,3432	0,0121813	-2,25187	0,00290977	-3,0247
SC5DL	NM_006918	0,259326	-1,33903	0,00301651	-3,07647	0,0120835	-2,29753
P2RY5	NM_005767	0,80832	-1,06902	0,00447583	-3,20022	0,0059084	-2,99362
SEPT8	NM_015146	0,637726	-1,12783	0,00403189	-2,99243	0,00695145	-2,65325
ZNF207	NM_001098507	0,483016	-1,15979	0,00370288	-2,48846	0,00846292	-2,14562
SGK1	NM_001143676	0,373463	-1,52964	0,00344765	-7,86572	0,0100402	-5,14221
CCDC59	NM_014167	0,997773	1,00056	0,00531334	-2,25779	0,00529636	-2,25904
TRA2B	NM_004593	0,662217	-1,14384	0,0042332	-3,69995	0,00702499	-3,23468
KCMF1	NM_020122	0,372925	-1,4066	0,003494	-5,20213	0,0102079	-3,69836
ENSA	NM_207042	0,537992	-1,19744	0,00394139	-3,49845	0,00812257	-2,92161
FBL	NM_001436	0,969592	1,0092	0,00553263	-2,64705	0,00529553	-2,6714
SNX24	NM_014035	0,737555	-1,07463	0,00454145	-2,46769	0,00669246	-2,29632
MARCH7	NM_022826	0,956818	1,00948	0,00567576	-2,0185	0,00533272	-2,03764
AREG	NM_001657	0,786504	-1,10329	0,00479019	-4,53461	0,00655396	-4,11007
PRDX5	NM_012094	0,153121	-1,49681	0,0030233	-3,26137	0,0196279	-2,17888
TM7SF3	NM_016551	0,731154	-1,08068	0,00474341	-2,56178	0,00707687	-2,37054
MAX	NM_145113	0,669359	1,10493	0,00753166	-2,4072	0,00457109	-2,6598
ACVR2A	NM_001616	0,383355	1,20878	0,0110146	-2,07764	0,00382436	-2,51141
MAP4K5	NM_198794	0,849276	-1,04332	0,00530662	-2,48701	0,00661982	-2,38375
